,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
0,486350,110650,486335,110643,2,48631106,7.0,7.206806730218687,7.206806730218687,1.0
1,486450,111350,486485,111332,2,48641113,4.0,4.454267175231373,4.454267175231373,0.4
3,486550,110350,486511,110398,2,48651103,7.0,7.206806730218687,7.206806730218687,1.0
4,486550,111550,486500,111500,2,48651115,14.0,14.681400762847058,14.681400762847058,1.4
7,486750,118250,486737,118204,2,48671182,7.0,7.181242592603569,7.181242592603569,1.0
8,486850,111150,486861,111108,2,48681111,14.0,14.908534350462746,7.454267175231373,1.6
12,486950,111150,486915,111120,2,48691111,19.0,19.908534350462745,6.636178116820915,2.4
16,487050,111150,487065,111113,2,48701111,21.0,22.135667938078434,11.067833969039217,2.6
21,487150,111250,487197,111208,2,48711112,8.0,8.227133587615686,8.227133587615686,1.0
22,487150,117850,487121,117891,2,48711178,7.0,7.181242592603569,7.181242592603569,1.0
23,487150,118450,487111,118491,2,48711184,7.0,7.181242592603569,7.181242592603569,1.0
24,487250,111250,487291,111212,2,48721112,12.0,12.681400762847058,4.227133587615686,1.4
27,487350,117550,487348,117527,2,48731175,7.0,7.181242592603569,7.181242592603569,1.0
28,487350,118450,487324,118478,2,48731184,7.0,7.181242592603569,7.181242592603569,1.0
29,487450,111150,487416,111177,2,48741111,12.0,12.681400762847058,4.227133587615686,1.4
33,487450,117850,487459,117886,2,48741178,7.0,7.181242592603569,7.181242592603569,1.0
34,487450,118450,487498,118462,2,48741184,7.0,7.181242592603569,7.181242592603569,1.0
35,487650,117650,487669,117630,2,48761176,7.0,7.181242592603569,7.181242592603569,1.0
36,487750,116950,487753,116956,2,48771169,4.0,4.413613460437374,4.413613460437374,0.4
38,487750,119150,487763,119161,2,48771191,7.0,7.181242592603569,7.181242592603569,1.0
39,487850,117050,487857,117017,2,48781170,9.0,9.413613460437373,4.706806730218687,1.2
41,487950,117050,487944,117012,2,48791170,7.0,7.206806730218687,7.206806730218687,1.0
42,488150,111450,488156,111460,2,48811114,7.0,7.227133587615686,7.227133587615686,1.0
43,488150,117050,488135,117068,2,48811170,7.0,7.206806730218687,7.206806730218687,1.0
44,488150,118350,488107,118322,2,48811183,7.0,7.181242592603569,7.181242592603569,1.0
45,488250,111450,488250,111400,2,48821114,7.0,7.68140076284706,3.84070038142353,0.6000000000000001
49,488350,111550,488386,111555,2,48831115,4.0,4.454267175231373,4.454267175231373,0.4
51,488350,116550,488315,116542,2,48831165,7.0,7.206806730218687,7.206806730218687,1.0
52,488350,116950,488306,116905,2,48831169,7.0,7.206806730218687,7.206806730218687,1.0
53,488350,118450,488384,118402,2,48831184,21.0,21.724970370414276,5.431242592603569,2.4
58,488450,112650,488400,112600,2,48841126,9.0,9.206806730218688,9.206806730218688,1.0
61,488450,118250,488434,118251,2,48841182,16.0,16.906212963017847,4.226553240754462,1.8
66,488550,111550,488592,111597,2,48851115,4.0,4.454267175231373,4.454267175231373,0.4
68,488550,118850,488551,118860,2,48851188,15.0,15.724970370414276,5.241656790138092,1.5999999999999999
72,488550,119550,488540,119577,2,48851195,7.0,7.181242592603569,7.181242592603569,1.0
73,488650,111650,488639,111685,2,48861116,4.0,4.454267175231373,4.454267175231373,0.4
75,488650,116950,488637,116932,2,48861169,7.0,7.181242592603569,7.181242592603569,1.0
76,488650,117550,488677,117549,2,48861175,7.0,7.181242592603569,7.181242592603569,1.0
78,488750,117350,488774,117323,2,48871173,7.0,7.181242592603569,7.181242592603569,1.0
79,488750,119350,488793,119325,2,48871193,9.0,9.362485185207138,4.681242592603569,1.2
81,488850,117350,488894,117316,2,48881173,7.0,7.181242592603569,7.181242592603569,1.0
