,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
4213,607050,125450,607029,125427,22,60701254,4.0,4.5434523979018335,4.5434523979018335,0.4
4215,607050,126650,607077,126652,22,60701266,6.0,6.543452397901834,6.543452397901834,0.4
4217,607050,127150,607079,127119,22,60701271,4.0,4.271726198950917,4.271726198950917,0.2
4233,607450,126550,607482,126563,22,60741265,4.0,4.5434523979018335,4.5434523979018335,0.4
4237,607550,126550,607526,126525,22,60751265,6.0,6.81517859685275,6.81517859685275,0.6000000000000001
4247,607850,126250,607800,126220,22,60781262,14.0,14.815178596852752,14.815178596852752,1.4
4252,607950,127050,607925,127037,22,60791270,6.0,6.81517859685275,6.81517859685275,0.6000000000000001
4278,608650,126150,608639,126148,22,60861261,4.0,4.480394739936401,4.480394739936401,0.4
4286,608750,126150,608797,126182,22,60871261,11.0,12.200986849841001,6.100493424920501,1.0
4291,608750,226350,608700,226300,22,60872263,6.0,6.90453656525728,6.90453656525728,0.6000000000000001
4304,609050,225850,609030,225860,22,60902258,4.0,4.654100260062337,4.654100260062337,0.4
4310,609250,225350,609236,225383,22,60922253,4.0,4.654100260062337,4.654100260062337,0.4
4316,609350,225350,609304,225375,22,60932253,4.0,4.654100260062337,4.654100260062337,0.4
4318,609350,225450,609304,225401,22,60932254,9.0,10.308200520124673,10.308200520124673,0.8
4327,609550,128150,609576,128146,22,60951281,4.0,4.4511625519120175,4.4511625519120175,0.4
4331,609550,269250,609543,269234,22,60952692,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4334,609550,269350,609530,269332,22,60952693,4.0,4.446022402794293,4.446022402794293,0.4
4339,609750,128650,609763,128630,22,60971286,7.0,7.676743827868027,7.676743827868027,0.6000000000000001
4344,609750,269450,609794,269424,22,60972694,4.0,4.446022402794293,4.446022402794293,0.4
4348,609850,269050,609809,269056,22,60982690,4.0,4.446022402794293,4.446022402794293,0.4
4350,609950,268950,609908,268944,22,60992689,5.0,5.446022402794293,5.446022402794293,0.4
4354,609950,269350,609920,269310,22,60992693,4.0,4.446022402794293,4.446022402794293,0.4
4357,610050,268750,610052,268702,22,61002687,4.0,4.223011201397147,4.223011201397147,0.2
4358,610050,268950,610042,268915,22,61002689,4.0,4.446022402794293,4.446022402794293,0.4
4366,610350,266150,610370,266170,22,61032661,6.0,6.446022402794293,6.446022402794293,0.4
4369,610450,123150,610499,123162,22,61041231,4.0,4.570221510514402,4.570221510514402,0.4
4374,610450,266150,610470,266170,22,61042661,9.0,9.66903360419144,9.66903360419144,0.6000000000000001
4377,610450,266250,610409,266216,22,61042662,4.0,4.446022402794293,4.446022402794293,0.4
4382,610550,266250,610550,266220,22,61052662,10.0,10.892044805588586,10.892044805588586,0.8
4392,610650,128550,610655,128558,22,61061285,4.0,4.2401973699682,4.2401973699682,0.2
4397,610650,265950,610625,265923,22,61062659,4.0,4.446022402794293,4.446022402794293,0.4
4402,610650,266450,610690,266450,22,61062664,7.0,7.66903360419144,3.83451680209572,0.6000000000000001
4411,610750,266450,610740,266470,22,61072664,8.0,8.66903360419144,4.33451680209572,0.6000000000000001
4414,610750,268550,610793,268575,22,61072685,4.0,4.223011201397147,4.223011201397147,0.2
4415,610750,269450,610781,269447,22,61072694,8.0,8.892044805588586,8.892044805588586,0.8
4420,610850,234350,610875,234375,22,61082343,4.0,4.265704948827052,4.265704948827052,0.2
4425,610850,269050,610817,269063,22,61082690,4.0,4.446022402794293,4.446022402794293,0.4
4427,610850,269150,610886,269147,22,61082691,5.0,5.446022402794293,5.446022402794293,0.4
4444,611050,269850,611091,269885,22,61102698,4.0,4.446022402794293,4.446022402794293,0.4
4447,611150,214850,611100,214800,22,61112148,4.0,4.708520941296406,4.708520941296406,0.4
4450,611150,266850,611115,266837,22,61112668,10.0,10.66903360419144,10.66903360419144,0.6000000000000001
4453,611150,269050,611133,269084,22,61112690,4.0,4.446022402794293,4.446022402794293,0.4
4462,611150,269950,611152,269982,22,61112699,9.0,9.892044805588586,4.946022402794293,0.8
4466,611150,270050,611120,270070,22,61112700,4.0,4.446022402794293,4.446022402794293,0.4
4468,611150,270150,611124,270100,22,61112701,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4474,611250,269850,611225,269848,22,61122698,4.0,4.446022402794293,4.446022402794293,0.4
4476,611250,270050,611260,270000,22,61122700,14.0,15.338067208382878,15.338067208382878,1.2
4482,611250,270150,611263,270119,22,61122701,13.0,14.338067208382878,7.169033604191439,1.2
4497,611350,270050,611319,270042,22,61132700,4.0,4.446022402794293,4.446022402794293,0.4
4499,611350,270150,611332,270163,22,61132701,4.0,4.446022402794293,4.446022402794293,0.4
4501,611350,270450,611300,270452,22,61132704,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4505,611350,270650,611302,270658,22,61132706,7.0,7.446022402794293,7.446022402794293,0.4
4518,611550,176850,611565,176880,22,61151768,4.0,4.254288139414977,4.254288139414977,0.2
4519,611550,267650,611568,267628,22,61152676,4.0,4.446022402794293,4.446022402794293,0.4
4523,611550,270450,611505,270488,22,61152704,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4526,611550,270550,611510,270590,22,61152705,10.0,11.115056006985732,11.115056006985732,1.0
4532,611550,270750,611561,270725,22,61152707,10.0,11.115056006985732,11.115056006985732,1.0
4541,611650,269750,611638,269785,22,61162697,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4546,611650,270650,611660,270671,22,61162706,10.0,11.115056006985732,11.115056006985732,1.0
4551,611650,270750,611680,270729,22,61162707,4.0,4.446022402794293,4.446022402794293,0.4
4553,611650,270850,611689,270812,22,61162708,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4559,611750,254550,611795,254515,22,61172545,4.0,4.435847502516285,4.435847502516285,0.4
4564,611750,270750,611700,270700,22,61172707,8.0,8.892044805588586,8.892044805588586,0.8
4574,611850,268650,611816,268635,22,61182686,4.0,4.446022402794293,4.446022402794293,0.4
4576,611850,269350,611862,269396,22,61182693,8.0,8.66903360419144,8.66903360419144,0.6000000000000001
4580,611850,270150,611870,270195,22,61182701,4.0,4.446022402794293,4.446022402794293,0.4
4582,611850,270450,611899,270464,22,61182704,4.0,4.446022402794293,4.446022402794293,0.4
4584,611850,270750,611800,270738,22,61182707,4.0,4.446022402794293,4.446022402794293,0.4
4588,611950,266050,611908,266035,22,61192660,7.0,7.66903360419144,7.66903360419144,0.6000000000000001
4591,611950,269550,611911,269513,22,61192695,4.0,4.446022402794293,4.446022402794293,0.4
4597,612050,269050,612028,269035,22,61202690,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4600,612050,269450,612037,269402,22,61202694,4.0,4.446022402794293,4.446022402794293,0.4
4602,612050,269750,612058,269759,22,61202697,4.0,4.446022402794293,4.446022402794293,0.4
4604,612050,270150,612030,270140,22,61202701,4.0,4.223011201397147,4.223011201397147,0.2
4606,612050,270650,612091,270650,22,61202706,8.0,8.892044805588586,8.892044805588586,0.8
4614,612150,267350,612114,267378,22,61212673,4.0,4.446022402794293,4.446022402794293,0.4
4617,612150,268950,612158,268993,22,61212689,7.0,7.66903360419144,3.83451680209572,0.6000000000000001
4620,612150,269150,612189,269197,22,61212691,12.0,13.115056006985732,13.115056006985732,1.0
4633,612150,270250,612170,270254,22,61212702,4.0,4.446022402794293,4.446022402794293,0.4
4636,612150,270550,612130,270554,22,61212705,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4643,612250,265850,612209,265866,22,61222658,4.0,4.446022402794293,4.446022402794293,0.4
4648,612250,269050,612252,269085,22,61222690,11.0,11.892044805588586,5.946022402794293,0.8
4652,612250,269150,612230,269115,22,61222691,6.0,6.446022402794293,6.446022402794293,0.4
4656,612250,269850,612221,269877,22,61222698,10.0,10.892044805588586,10.892044805588586,0.8
4660,612250,270050,612290,270080,22,61222700,4.0,4.223011201397147,4.223011201397147,0.2
4661,612250,270150,612290,270115,22,61222701,4.0,4.446022402794293,4.446022402794293,0.4
4663,612250,270250,612270,270201,22,61222702,9.0,9.892044805588586,4.946022402794293,0.8
4668,612250,270450,612262,270484,22,61222704,4.0,4.446022402794293,4.446022402794293,0.4
4673,612350,269150,612397,269110,22,61232691,4.0,4.446022402794293,4.446022402794293,0.4
4675,612350,269650,612326,269670,22,61232696,5.0,5.446022402794293,5.446022402794293,0.4
4681,612350,270350,612387,270306,22,61232703,13.0,14.115056006985732,7.057528003492866,1.0
4686,612350,270450,612395,270484,22,61232704,7.0,7.66903360419144,3.83451680209572,0.6000000000000001
4697,612450,265550,612470,265526,22,61242655,4.0,4.446022402794293,4.446022402794293,0.4
4699,612450,265650,612481,265699,22,61242656,9.0,9.892044805588586,9.892044805588586,0.8
4706,612450,269050,612440,269025,22,61242690,4.0,4.223011201397147,4.223011201397147,0.2
4707,612450,270050,612455,270090,22,61242700,4.0,4.446022402794293,4.446022402794293,0.4
4709,612450,270250,612442,270261,22,61242702,10.0,10.892044805588586,5.446022402794293,0.8
4714,612550,260750,612570,260750,22,61252607,4.0,4.504049328791904,4.504049328791904,0.4
4723,612650,265450,612666,265409,22,61262654,4.0,4.446022402794293,4.446022402794293,0.4
4730,612750,118450,612726,118443,22,61271184,8.0,8.997564460747723,8.997564460747723,0.8
4738,612750,265650,612787,265629,22,61272656,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4746,612850,265650,612895,265643,22,61282656,4.0,4.446022402794293,4.446022402794293,0.4
4748,612950,114050,612982,114061,22,61291140,7.0,7.733781653775761,3.8668908268878806,0.6000000000000001
4755,612950,265550,612999,265569,22,61292655,6.0,6.66903360419144,6.66903360419144,0.6000000000000001
4758,612950,268250,612975,268287,22,61292682,7.0,7.66903360419144,3.83451680209572,0.6000000000000001
4765,613050,265750,613093,265706,22,61302657,7.0,7.66903360419144,7.66903360419144,0.6000000000000001
