,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
0,487250,117150,487250,117150,12,48721171,6.0,6.181242592603569,6.181242592603569,0.2
1,487550,112450,487550,112450,12,48751124,6.0,6.227133587615686,6.227133587615686,0.2
2,487550,116950,487550,116950,12,48751169,6.0,6.206806730218687,6.206806730218687,0.2
3,487550,117050,487550,117050,12,48751170,6.0,6.206806730218687,6.206806730218687,0.2
4,487550,117350,487550,117350,12,48751173,6.0,6.206806730218687,6.206806730218687,0.2
5,487550,118650,487550,118650,12,48751186,6.0,6.181242592603569,6.181242592603569,0.2
6,487650,111450,487650,111450,12,48761114,6.0,6.227133587615686,6.227133587615686,0.2
7,487650,112450,487650,112450,12,48761124,6.0,6.227133587615686,6.227133587615686,0.2
8,487650,113050,487650,113050,12,48761130,6.0,6.206806730218687,6.206806730218687,0.2
9,487650,117150,487650,117150,12,48761171,6.0,6.206806730218687,6.206806730218687,0.2
10,487650,118650,487650,118650,12,48761186,6.0,6.181242592603569,6.181242592603569,0.2
11,487750,117150,487750,117150,12,48771171,6.0,6.206806730218687,6.206806730218687,0.2
12,487750,117450,487750,117450,12,48771174,6.0,6.206806730218687,6.206806730218687,0.2
13,487750,117950,487750,117950,12,48771179,6.0,6.181242592603569,6.181242592603569,0.2
14,487850,116850,487850,116850,12,48781168,6.0,6.206806730218687,6.206806730218687,0.2
15,487850,117450,487850,117450,12,48781174,6.0,6.206806730218687,6.206806730218687,0.2
16,487950,116950,487950,116950,12,48791169,6.0,6.206806730218687,6.206806730218687,0.2
17,487950,118050,487950,118050,12,48791180,18.0,18.54372777781071,18.54372777781071,0.6000000000000001
20,488050,111850,488050,111850,12,48801118,6.0,6.227133587615686,6.227133587615686,0.2
21,488050,112650,488050,112650,12,48801126,6.0,6.206806730218687,6.206806730218687,0.2
22,488050,116450,488050,116450,12,48801164,6.0,6.206806730218687,6.206806730218687,0.2
23,488150,117150,488150,117150,12,48811171,6.0,6.206806730218687,6.206806730218687,0.2
24,488150,118650,488150,118650,12,48811186,6.0,6.181242592603569,6.181242592603569,0.2
25,488250,111850,488250,111850,12,48821118,6.0,6.227133587615686,6.227133587615686,0.2
26,488250,112450,488250,112450,12,48821124,6.0,6.206806730218687,6.206806730218687,0.2
27,488250,112950,488250,112950,12,48821129,6.0,6.206806730218687,6.206806730218687,0.2
28,488350,112950,488350,112950,12,48831129,6.0,6.206806730218687,6.206806730218687,0.2
29,488450,112450,488450,112450,12,48841124,6.0,6.206806730218687,6.206806730218687,0.2
30,488450,116950,488450,116950,12,48841169,6.0,6.206806730218687,6.206806730218687,0.2
31,488450,118650,488450,118650,12,48841186,6.0,6.181242592603569,6.181242592603569,0.2
32,488550,116950,488554,116961,12,48851169,10.0,10.413613460437375,10.413613460437375,1.2
34,488650,112150,488650,112150,12,48861121,6.0,6.227133587615686,6.227133587615686,0.2
35,488650,116350,488650,116350,12,48861163,6.0,6.206806730218687,6.206806730218687,0.2
36,488650,118350,488650,118350,12,48861183,6.0,6.181242592603569,6.181242592603569,0.2
37,488750,115250,488750,115250,12,48871152,6.0,6.206806730218687,6.206806730218687,0.2
38,488750,115950,488750,115950,12,48871159,6.0,6.206806730218687,6.206806730218687,0.2
39,488750,116350,488750,116350,12,48871163,6.0,6.206806730218687,6.206806730218687,0.2
43,488750,118450,488750,118450,12,48871184,6.0,6.181242592603569,6.181242592603569,0.2
44,488850,112050,488850,112050,12,48881120,6.0,6.227133587615686,6.227133587615686,0.2
45,488850,115350,488850,115350,12,48881153,12.0,12.413613460437373,12.413613460437373,0.4
47,488850,118450,488850,118450,12,48881184,6.0,6.181242592603569,6.181242592603569,0.2
50,489050,111350,489050,111350,12,48901113,12.0,12.454267175231372,12.454267175231372,0.4
52,489150,116250,489150,116250,12,48911162,6.0,6.206806730218687,6.206806730218687,0.2
53,489250,116350,489250,116350,12,48921163,6.0,6.206806730218687,6.206806730218687,0.2
54,489250,117850,489250,117850,12,48921178,6.0,6.181242592603569,6.181242592603569,0.2
55,489450,115250,489450,115250,12,48941152,6.0,6.181242592603569,6.181242592603569,0.2
56,489450,115750,489450,115750,12,48941157,6.0,6.206806730218687,6.206806730218687,0.2
57,489550,118450,489550,118450,12,48951184,6.0,6.200273306556069,6.200273306556069,0.2
58,489650,118450,489650,118450,12,48961184,6.0,6.200273306556069,6.200273306556069,0.2
59,489650,119150,489650,119150,12,48961191,6.0,6.181242592603569,6.181242592603569,0.2
60,489750,114250,489750,114250,12,48971142,6.0,6.200273306556069,6.200273306556069,0.2
61,489750,115850,489750,115850,12,48971158,6.0,6.181242592603569,6.181242592603569,0.2
62,489750,116350,489745,116387,12,48971163,10.0,10.362485185207138,10.362485185207138,1.2
64,489750,119150,489750,119150,12,48971191,6.0,6.181242592603569,6.181242592603569,0.2
65,489850,115950,489850,115950,12,48981159,6.0,6.181242592603569,6.181242592603569,0.2
66,489850,118450,489850,118450,12,48981184,6.0,6.200273306556069,6.200273306556069,0.2
67,489850,118750,489850,118750,12,48981187,6.0,6.200273306556069,6.200273306556069,0.2
69,489950,118750,489950,118750,12,48991187,6.0,6.200273306556069,6.200273306556069,0.2
71,490050,116350,490050,116350,12,49001163,6.0,6.181242592603569,6.181242592603569,0.2
72,490050,119150,490050,119150,12,49001191,6.0,6.200273306556069,6.200273306556069,0.2
73,490150,115950,490150,115950,12,49011159,6.0,6.181242592603569,6.181242592603569,0.2
74,490150,118650,490150,118650,12,49011186,6.0,6.200273306556069,6.200273306556069,0.2
75,490150,119550,490150,119550,12,49011195,6.0,6.181242592603569,6.181242592603569,0.2
76,490250,116150,490250,116150,12,49021161,12.0,12.362485185207138,12.362485185207138,0.4
78,490250,118750,490250,118750,12,49021187,12.0,12.400546613112137,12.400546613112137,0.4
80,490250,119650,490250,119650,12,49021196,6.0,6.181242592603569,6.181242592603569,0.2
81,490250,119950,490250,119950,12,49021199,6.0,6.181242592603569,6.181242592603569,0.2
82,490350,116150,490350,116150,12,49031161,6.0,6.181242592603569,6.181242592603569,0.2
83,490350,119950,490350,119950,12,49031199,6.0,6.181242592603569,6.181242592603569,0.2
84,490450,116350,490450,116350,12,49041163,6.0,6.200273306556069,6.200273306556069,0.2
86,490550,117050,490550,117050,12,49051170,6.0,6.200273306556069,6.200273306556069,0.2
87,490550,117650,490550,117650,12,49051176,6.0,6.200273306556069,6.200273306556069,0.2
88,490550,118250,490550,118250,12,49051182,6.0,6.200273306556069,6.200273306556069,0.2
89,490550,118650,490550,118650,12,49051186,12.0,12.400546613112137,12.400546613112137,0.4
91,490550,119750,490550,119750,12,49051197,6.0,6.181242592603569,6.181242592603569,0.2
92,490550,120150,490550,120150,12,49051201,6.0,6.181242592603569,6.181242592603569,0.2
93,490650,116950,490650,116950,12,49061169,6.0,6.200273306556069,6.200273306556069,0.2
94,490650,117750,490650,117750,12,49061177,6.0,6.200273306556069,6.200273306556069,0.2
95,490650,118350,490650,118350,12,49061183,6.0,6.200273306556069,6.200273306556069,0.2
96,490650,119350,490650,119350,12,49061193,6.0,6.200273306556069,6.200273306556069,0.2
97,490650,119950,490650,119950,12,49061199,6.0,6.181242592603569,6.181242592603569,0.2
98,490750,116550,490750,116550,12,49071165,6.0,6.200273306556069,6.200273306556069,0.2
99,490750,116650,490750,116650,12,49071166,6.0,6.200273306556069,6.200273306556069,0.2
100,490750,117150,490750,117150,12,49071171,6.0,6.200273306556069,6.200273306556069,0.2
101,490750,118050,490750,118050,12,49071180,6.0,6.200273306556069,6.200273306556069,0.2
102,490750,118550,490750,118550,12,49071185,6.0,6.200273306556069,6.200273306556069,0.2
103,490750,119350,490750,119350,12,49071193,6.0,6.200273306556069,6.200273306556069,0.2
104,490750,120150,490750,120150,12,49071201,6.0,6.181242592603569,6.181242592603569,0.2
105,490850,120350,490850,120350,12,49081203,6.0,6.181242592603569,6.181242592603569,0.2
106,490850,120450,490850,120450,12,49081204,6.0,6.181242592603569,6.181242592603569,0.2
107,490950,118950,490950,118950,12,49091189,6.0,6.200273306556069,6.200273306556069,0.2
108,490950,120350,490950,120350,12,49091203,6.0,6.181242592603569,6.181242592603569,0.2
109,491050,117650,491050,117650,12,49101176,6.0,6.200273306556069,6.200273306556069,0.2
