,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
0,487950,112250,487963,112208,3,48791122,8.0,8.227133587615686,8.227133587615686,1.0
1,489050,112850,489050,112850,3,48901128,10.0,10.206806730218688,10.206806730218688,1.0
2,490250,111250,490233,111263,3,49021112,10.0,10.454267175231372,5.227133587615686,1.2
4,490250,111350,490265,111375,3,49021113,36.0,37.13566793807843,12.378555979359476,4.2
9,490250,111550,490285,111599,3,49021115,24.0,24.68140076284706,12.34070038142353,3.0
12,490350,111350,490387,111353,3,49031113,8.0,8.227133587615686,8.227133587615686,1.0
13,490350,111450,490360,111485,3,49031114,18.0,18.68140076284706,9.34070038142353,2.2
16,490350,111550,490360,111510,3,49031115,24.0,24.68140076284706,12.34070038142353,3.0
19,490450,111250,490492,111290,3,49041112,8.0,8.227133587615686,8.227133587615686,1.0
20,490450,111350,490400,111350,3,49041113,8.0,8.227133587615686,8.227133587615686,1.0
21,490450,111450,490471,111453,3,49041114,10.0,10.454267175231372,5.227133587615686,1.2
23,490450,111550,490400,111500,3,49041115,14.0,14.454267175231372,7.227133587615686,2.0
25,490450,112550,490450,112550,3,49041125,10.0,10.227133587615686,10.227133587615686,1.0
27,490550,111350,490519,111379,3,49051113,8.0,8.227133587615686,8.227133587615686,1.0
28,490550,111450,490501,111403,3,49051114,8.0,8.227133587615686,8.227133587615686,1.0
29,490550,111550,490580,111509,3,49051115,18.0,18.454267175231372,9.227133587615686,2.0
31,490550,111650,490537,111661,3,49051116,28.0,28.68140076284706,14.34070038142353,3.0
34,490550,111750,490548,111741,3,49051117,8.0,8.227133587615686,8.227133587615686,1.0
35,490550,112650,490550,112650,3,49051126,10.0,10.227133587615686,10.227133587615686,1.0
36,490650,111550,490600,111595,3,49061115,8.0,8.227133587615686,8.227133587615686,1.0
37,490650,111650,490624,111603,3,49061116,18.0,18.454267175231372,9.227133587615686,2.0
39,490650,111750,490654,111706,3,49061117,34.0,34.908534350462745,17.454267175231372,4.0
43,490750,111550,490791,111500,3,49071115,8.0,8.227133587615686,8.227133587615686,1.0
44,490750,111650,490750,111650,3,49071116,10.0,10.227133587615686,10.227133587615686,1.0
45,490750,111750,490750,111750,3,49071117,10.0,10.227133587615686,10.227133587615686,1.0
46,490750,112450,490708,112411,3,49071124,8.0,8.227133587615686,8.227133587615686,1.0
47,490750,112550,490750,112550,3,49071125,10.0,10.227133587615686,10.227133587615686,1.0
48,490850,111250,490836,111251,3,49081112,18.0,18.454267175231372,9.227133587615686,2.0
50,490850,111350,490894,111361,3,49081113,24.0,24.68140076284706,12.34070038142353,3.0
53,490850,111450,490889,111469,3,49081114,14.0,14.454267175231372,7.227133587615686,2.0
55,490850,111550,490830,111555,3,49081115,20.0,20.68140076284706,6.893800254282353,2.2
58,490950,111350,490929,111389,3,49091113,24.0,24.68140076284706,12.34070038142353,3.0
61,490950,111650,490986,111616,3,49091116,6.0,6.454267175231372,6.454267175231372,0.4
63,490950,113350,490955,113355,3,49091133,8.0,8.200273306556069,8.200273306556069,1.0
64,491050,111350,491088,111384,3,49101113,8.0,8.227133587615686,8.227133587615686,1.0
65,491050,111450,491027,111485,3,49101114,8.0,8.227133587615686,8.227133587615686,1.0
66,491050,111550,491072,111522,3,49101115,8.0,8.227133587615686,8.227133587615686,1.0
67,491050,111650,491071,111692,3,49101116,8.0,8.227133587615686,8.227133587615686,1.0
68,491050,111750,491050,111750,3,49101117,6.0,6.227133587615686,6.227133587615686,1.0
69,491050,113250,491010,113298,3,49101132,8.0,8.200273306556069,8.200273306556069,1.0
70,491050,113350,491015,113395,3,49101133,12.0,12.400546613112137,6.200273306556069,1.2
72,491150,111150,491183,111190,3,49111111,8.0,8.227133587615686,8.227133587615686,1.0
73,491150,111250,491150,111250,3,49111112,10.0,10.227133587615686,10.227133587615686,1.0
74,491150,111350,491122,111369,3,49111113,8.0,8.227133587615686,8.227133587615686,1.0
75,491150,111450,491182,111417,3,49111114,8.0,8.227133587615686,8.227133587615686,1.0
76,491150,111650,491176,111618,3,49111116,8.0,8.227133587615686,8.227133587615686,1.0
77,491250,111450,491206,111456,3,49121114,8.0,8.227133587615686,8.227133587615686,1.0
78,491250,111650,491257,111673,3,49121116,34.0,34.908534350462745,17.454267175231372,4.0
82,491350,111450,491351,111428,3,49131114,18.0,18.454267175231372,9.227133587615686,2.0
84,491450,111350,491425,111367,3,49141113,8.0,8.227133587615686,8.227133587615686,1.0
85,491450,111650,491466,111692,3,49141116,18.0,18.454267175231372,9.227133587615686,2.0
87,491750,114650,491700,114600,3,49171146,10.0,10.400546613112137,5.200273306556069,1.2
89,491750,114750,491742,114765,3,49171147,10.0,10.400546613112137,5.200273306556069,1.2
91,491750,114850,491729,114848,3,49171148,8.0,8.200273306556069,8.200273306556069,1.0
92,492750,117350,492750,117350,3,49271173,10.0,10.200273306556069,10.200273306556069,1.0
93,492750,117550,492703,117508,3,49271175,18.0,18.400546613112137,9.200273306556069,2.0
95,493250,117650,493250,117650,3,49321176,10.0,10.200273306556069,10.200273306556069,1.0
96,493350,117750,493305,117732,3,49331177,18.0,18.400546613112137,9.200273306556069,2.0
98,493450,117650,493450,117650,3,49341176,10.0,10.200273306556069,10.200273306556069,1.0
99,494150,119350,494140,119314,3,49411193,8.0,8.200273306556069,8.200273306556069,1.0
100,494150,119450,494130,119462,3,49411194,8.0,8.200273306556069,8.200273306556069,1.0
101,494450,119550,494420,119585,3,49441195,8.0,8.200273306556069,8.200273306556069,1.0
102,494450,119650,494466,119632,3,49441196,8.0,8.200273306556069,8.200273306556069,1.0
103,496550,111250,496513,111216,3,49651112,16.0,16.47889596670098,16.47889596670098,2.0
105,496550,111350,496574,111357,3,49651113,16.0,16.47889596670098,16.47889596670098,2.0
107,496650,111250,496650,111202,3,49661112,16.0,16.47889596670098,16.47889596670098,2.0
109,496650,111350,496675,111340,3,49661113,16.0,16.47889596670098,16.47889596670098,2.0
111,513950,152650,513929,152673,3,51391526,8.0,8.224774916605016,8.224774916605016,1.0
112,514050,152450,514071,152464,3,51401524,8.0,8.224774916605016,8.224774916605016,1.0
113,514050,152550,514096,152505,3,51401525,24.0,24.67432474981505,24.67432474981505,3.0
116,514050,152650,514009,152665,3,51401526,16.0,16.449549833210032,16.449549833210032,2.0
118,514150,152450,514170,152430,3,51411524,16.0,16.449549833210032,16.449549833210032,2.0
120,514250,156150,514269,156114,3,51421561,8.0,8.224774916605016,8.224774916605016,1.0
122,514350,156350,514390,156390,3,51431563,8.0,8.224774916605016,8.224774916605016,1.0
123,514550,156350,514564,156389,3,51451563,24.0,24.67432474981505,24.67432474981505,3.0
126,517450,154250,517491,154263,3,51741542,22.0,22.67432474981505,11.337162374907525,3.0
129,517550,154250,517563,154223,3,51751542,24.0,24.674689852613717,24.674689852613717,3.0
132,517550,154350,517545,154372,3,51751543,24.0,24.674689852613717,24.674689852613717,3.0
135,517650,154150,517674,154199,3,51761541,28.0,29.124483087689534,9.708161029229844,3.4
140,517650,154250,517678,154220,3,51761542,26.0,26.899586470151625,13.449793235075813,3.2
144,521450,156050,521467,156072,3,52141560,8.0,8.270542137310738,8.270542137310738,1.0
145,521550,156050,521516,156019,3,52151560,8.0,8.270542137310738,8.270542137310738,1.0
146,526750,162450,526758,162442,3,52671624,8.0,8.213935385509995,8.213935385509995,1.0
147,526850,162550,526878,162550,3,52681625,22.0,22.641806156529984,11.320903078264992,3.0
150,526850,162650,526860,162600,3,52681626,16.0,16.42787077101999,16.42787077101999,2.0
152,526850,177150,526850,177150,3,52681771,16.0,16.51514932810415,16.51514932810415,2.0
154,526950,177250,526950,177250,3,52691772,16.0,16.51514932810415,16.51514932810415,2.0
157,527350,164650,527350,164650,3,52731646,6.0,6.26931199615617,6.26931199615617,1.0
158,527350,165250,527302,165261,3,52731652,8.0,8.269311996156171,8.269311996156171,1.0
159,527450,164550,527450,164550,3,52741645,6.0,6.213935385509994,6.213935385509994,1.0
160,527450,164650,527450,164650,3,52741646,6.0,6.26931199615617,6.26931199615617,1.0
161,527450,164750,527450,164750,3,52741647,6.0,6.26931199615617,6.26931199615617,1.0
162,528350,156250,528356,156281,3,52831562,8.0,8.228785827988988,8.228785827988988,1.0
163,528450,177450,528489,177443,3,52841774,8.0,8.190778895343637,8.190778895343637,1.0
164,528550,177250,528550,177250,3,52851772,10.0,10.257574664052076,10.257574664052076,1.0
165,528550,177350,528550,177330,3,52851773,18.0,18.572336686030912,9.286168343015456,2.2
168,528550,177450,528519,177459,3,52851774,16.0,16.381557790687275,16.381557790687275,2.0
170,529950,183050,529900,183075,3,52991830,8.0,8.224337041286143,8.224337041286143,1.0
173,530750,167650,530742,167682,3,53071676,8.0,8.213935385509995,8.213935385509995,1.0
174,531250,167350,531200,167310,3,53121673,8.0,8.213935385509995,8.213935385509995,1.0
175,532350,166450,532369,166433,3,53231664,8.0,8.213935385509995,8.213935385509995,1.0
176,532350,166550,532320,166570,3,53231665,16.0,16.42787077101999,16.42787077101999,2.0
178,532450,166550,532464,166518,3,53241665,8.0,8.213935385509995,8.213935385509995,1.0
179,534650,155850,534639,155884,3,53461558,16.0,16.414513236097847,16.414513236097847,2.0
181,534750,157050,534792,157096,3,53471570,8.0,8.30489773019227,8.30489773019227,1.0
182,534750,157150,534765,157175,3,53471571,8.0,8.30489773019227,8.30489773019227,1.0
183,534750,157250,534794,157269,3,53471572,24.0,24.91469319057681,24.91469319057681,3.0
186,534850,157050,534824,157088,3,53481570,8.0,8.30489773019227,8.30489773019227,1.0
187,534950,157250,534923,157275,3,53491572,8.0,8.30489773019227,8.30489773019227,1.0
188,537150,181050,537110,181044,3,53711810,8.0,8.257574664052076,8.257574664052076,1.0
189,541750,186450,541750,186450,3,54171864,10.0,10.224612563930854,10.224612563930854,1.0
190,543850,154350,543830,154331,3,54381543,8.0,8.207256618048923,8.207256618048923,1.0
191,543850,168550,543850,168586,3,54381685,8.0,8.241493322599657,8.241493322599657,1.0
192,543850,168650,543880,168665,3,54381686,16.0,16.482986645199315,16.482986645199315,2.0
194,543850,168750,543880,168700,3,54381687,8.0,8.241493322599657,8.241493322599657,1.0
