,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
4,486050,110150,486039,110182,17,48601101,10.0,11.034033651093436,11.034033651093436,1.0
10,486150,110350,486190,110323,17,48611103,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
17,486350,110650,486360,110672,17,48631106,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
22,486450,110650,486440,110695,17,48641106,4.0,4.413613460437374,4.413613460437374,0.4
28,486650,110550,486600,110500,17,48661105,7.0,7.620420190656061,7.620420190656061,0.6000000000000001
32,486650,117150,486650,117150,17,48661171,6.0,6.181242592603569,6.181242592603569,0.2
34,486750,110550,486700,110500,17,48671105,4.0,4.454267175231373,4.454267175231373,0.4
39,486750,117650,486752,117655,17,48671176,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
42,486850,110250,486843,110256,17,48681102,10.0,10.908534350462746,5.454267175231373,0.8
48,486850,111050,486844,111058,17,48681110,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
51,486850,117350,486850,117350,17,48681173,6.0,6.181242592603569,6.181242592603569,0.2
52,486950,110750,486950,110750,17,48691107,6.0,6.227133587615686,6.227133587615686,0.2
53,486950,111050,486992,111034,17,48691110,24.0,26.271335876156865,13.135667938078432,1.9999999999999998
63,486950,117850,486976,117853,17,48691178,4.0,4.362485185207139,4.362485185207139,0.4
65,487050,110550,487074,110586,17,48701105,9.0,9.908534350462746,4.954267175231373,0.8
76,487250,111050,487206,111002,17,48721110,12.0,13.362801525694119,3.3407003814235297,1.2
84,487350,111050,487352,111067,17,48731110,4.0,4.227133587615686,4.227133587615686,0.2
93,487650,114450,487659,114408,17,48761144,4.0,4.413613460437374,4.413613460437374,0.4
101,488150,118350,488161,118349,17,48811183,4.0,4.362485185207139,4.362485185207139,0.4
108,488450,118050,488492,118053,17,48841180,4.0,4.362485185207139,4.362485185207139,0.4
118,488650,117650,488611,117667,17,48861176,4.0,4.362485185207139,4.362485185207139,0.4
